"Page","Section","Section Description"
"Home","Navbar","Sticky menu that hides on scroll down and reappears on scroll up, Mega menu, dropdown with multi-tiers, book now, contact, logo, (code for back-to-top button on all pages)"
"","Hero Header Section","Striking hero with confident headline, spa video, subheadline, and dual CTAs (“Book Now”, “Find Recommended Services”) for immediate engagement."
"","Logo Carousel","Horizontal logo carousel moving leftward highlight brand logos of products and tools we use at spa."
"","Features List Section","Highlight seasonal treatment specials (usually 4 per quarter (e.g., Botox/fillers, laser hair removal, skin treatments) to drive interest in top services."
"","About Section","Brief brand story preview highlighting experience and care philosophy, with CTA to learn more about Rejuvalase."
"","Features List Section","Showcase of core service categories (Injectables, Laser Treatments, Skin Rejuvenation, Body Contouring, Wellness) in a clean grid; each with image, short summary, and link to service page."
"","Benefits Section","Key benefits: personalized treatment plans, medical-grade expertise, natural-looking results—presented with icons and concise copy to build trust."
"","Testimonial Section","Emotional, results-focused testimonials with optional before/after slider to reinforce credibility and transformation."
"","Featured Blog List Header Section","Preview of 3 educational, SEO-friendly blog posts to position the brand as a trusted beauty authority."
"","CTA Section","Full-width emotional banner with persuasive message and CTA: “Start Your Transformation Today.”"
"","FAQ Section","Address top client concerns—safety, pain, results duration—using an accessible, expandable format."
"","Contact Section","Contact form with fields for name, email, phone, service interest, and optional booking integration for seamless conversions."
"","Footer","Have space for large list of navigation link columns (5-wide), logo, location address, social icons, newsletter signup, Booking now button, list services, specials, featured blog posts, careers, page list broken by topical relevance, copyright line, made by Edwin Marie (link to https://www.edwinmarie.com)"
"About","Navbar","Sticky menu that hides on scroll down and reappears on scroll up, Mega menu, dropdown with multi-tiers, book now, contact, logo, (code for back-to-top button on all pages)"
"","Header Section","Elegant, welcoming headline (“Meet Rejuvalase”) with a short intro highlighting the medspa’s premium, client-centered approach."
"","About Section","In-depth brand story: founding, mission, and core philosophy focused on personalized, high-end care and natural beauty."
"","Feature Section","Emphasize medical expertise: certifications, advanced training, and safety protocols that set Rejuvalase apart as a medical authority."
"","Team Section","Spotlight on 3 lead practitioners and staff, with option to navigate to team page."
"","Testimonial Section","Select testimonial(s) underscoring client satisfaction and long-term relationships."
"","CTA Section","Strong call-to-action: “Experience the Rejuvalase Difference—Book Your Consultation.”"
"","Footer","Have space for large list of navigation link columns (5-wide), logo, location address, social icons, newsletter signup, Booking now button, list services, specials, featured blog posts, careers, page list broken by topical relevance, copyright line, made by Edwin Marie (link to https://www.edwinmarie.com)"
"Team","Navbar","Sticky menu that hides on scroll down and reappears on scroll up, Mega menu, dropdown with multi-tiers, book now, contact, logo, (code for back-to-top button on all pages)"
"","Header Section","Elegant, inviting header with page title (“Meet Our Experts”), a brief intro focused on expertise, care, and medspa credibility."
